,encoding-dim,num-epochs,batch-size,lr,Accuracy
124,13,20,32,1e-05,0.6729591836734694
125,13,30,32,1e-05,0.6740816326530612
126,13,10,64,0.001,0.6716326530612244
127,13,20,64,0.001,0.6751020408163265
128,13,30,64,0.001,0.7175510204081633
129,13,10,64,0.0001,0.671530612244898
130,13,20,64,0.0001,0.673469387755102
131,13,30,64,0.0001,0.6718367346938775
132,13,10,64,1e-05,0.651734693877551
133,13,20,64,1e-05,0.6585714285714286
134,13,30,64,1e-05,0.6659183673469388
135,13,10,128,0.001,0.6690816326530612
136,13,20,128,0.001,0.6703061224489796
137,13,30,128,0.001,0.6710204081632654
138,13,10,128,0.0001,0.671734693877551
139,13,20,128,0.0001,0.6730612244897959
140,13,30,128,0.0001,0.6735714285714286
141,13,10,128,1e-05,0.6576530612244897
142,13,20,128,1e-05,0.654795918367347
143,13,30,128,1e-05,0.6569387755102041
144,14,10,16,0.001,0.6708163265306123
145,14,20,16,0.001,0.6918367346938775
146,14,30,16,0.001,0.7654081632653061
147,14,10,16,0.0001,0.6695918367346939
148,14,20,16,0.0001,0.6757142857142857
149,14,30,16,0.0001,0.6876530612244898
150,14,10,16,1e-05,0.6675510204081633
151,14,20,16,1e-05,0.6711224489795918
152,14,30,16,1e-05,0.6714285714285714
153,14,10,32,0.001,0.6726530612244898
154,14,20,32,0.001,0.720204081632653
155,14,30,32,0.001,0.6979591836734694
156,14,10,32,0.0001,0.6707142857142857
157,14,20,32,0.0001,0.6696938775510204
158,14,30,32,0.0001,0.6718367346938775
159,14,10,32,1e-05,0.6628571428571428
160,14,20,32,1e-05,0.6698979591836735
161,14,30,32,1e-05,0.6710204081632654
162,14,10,64,0.001,0.6710204081632654
163,14,20,64,0.001,0.6704081632653062
164,14,30,64,0.001,0.6712244897959184
165,14,10,64,0.0001,0.6709183673469388
166,14,20,64,0.0001,0.6709183673469388
167,14,30,64,0.0001,0.6702040816326531
168,14,10,64,1e-05,0.6553061224489796
169,14,20,64,1e-05,0.6642857142857143
170,14,30,64,1e-05,0.6698979591836735
171,14,10,128,0.001,0.669795918367347
172,14,20,128,0.001,0.6701020408163265
173,14,30,128,0.001,0.6701020408163265
174,14,10,128,0.0001,0.6708163265306123
175,14,20,128,0.0001,0.6706122448979592
176,14,30,128,0.0001,0.669795918367347
177,14,10,128,1e-05,0.6463265306122449
178,14,20,128,1e-05,0.6460204081632653
179,14,30,128,1e-05,0.6459183673469387
180,15,10,16,0.001,0.6711224489795918
181,15,20,16,0.001,0.6757142857142857
182,15,30,16,0.001,0.6718367346938775
183,15,10,16,0.0001,0.6728571428571428
184,15,20,16,0.0001,0.6846938775510204
185,15,30,16,0.0001,0.681734693877551
186,15,10,16,1e-05,0.6652040816326531
187,15,20,16,1e-05,0.6714285714285714
188,15,30,16,1e-05,0.6726530612244898
189,15,10,32,0.001,0.6713265306122449
190,15,20,32,0.001,0.6911224489795919
191,15,30,32,0.001,0.6512244897959184
192,15,10,32,0.0001,0.6704081632653062
193,15,20,32,0.0001,0.6720408163265306
194,15,30,32,0.0001,0.6720408163265306
195,15,10,32,1e-05,0.6639795918367347
196,15,20,32,1e-05,0.6702040816326531
197,15,30,32,1e-05,0.6716326530612244
198,15,10,64,0.001,0.669795918367347
199,15,20,64,0.001,0.683469387755102
200,15,30,64,0.001,0.6721428571428572
201,15,10,64,0.0001,0.6714285714285714
202,15,20,64,0.0001,0.6705102040816326
203,15,30,64,0.0001,0.669795918367347
204,15,10,64,1e-05,0.6504081632653061
205,15,20,64,1e-05,0.6627551020408163
206,15,30,64,1e-05,0.6708163265306123
207,15,10,128,0.001,0.6692857142857143
208,15,20,128,0.001,0.6713265306122449
209,15,30,128,0.001,0.6733673469387755
210,15,10,128,0.0001,0.6704081632653062
211,15,20,128,0.0001,0.671734693877551
212,15,30,128,0.0001,0.671734693877551
213,15,10,128,1e-05,0.6492857142857142
214,15,20,128,1e-05,0.6509183673469388
215,15,30,128,1e-05,0.6542857142857142
216,16,10,16,0.001,0.673469387755102
217,16,20,16,0.001,0.6872448979591836
218,16,30,16,0.001,0.8856122448979592
219,16,10,16,0.0001,0.6753061224489796
220,16,20,16,0.0001,0.6738775510204081
221,16,30,16,0.0001,0.6729591836734694
222,16,10,16,1e-05,0.6719387755102041
223,16,20,16,1e-05,0.6719387755102041
224,16,30,16,1e-05,0.6718367346938775
225,16,10,32,0.001,0.6688775510204081
226,16,20,32,0.001,0.671530612244898
227,16,30,32,0.001,0.6725510204081633
228,16,10,32,0.0001,0.671530612244898
229,16,20,32,0.0001,0.6709183673469388
230,16,30,32,0.0001,0.6692857142857143
231,16,10,32,1e-05,0.6695918367346939
232,16,20,32,1e-05,0.6730612244897959
233,16,30,32,1e-05,0.6733673469387755
234,16,10,64,0.001,0.6693877551020408
235,16,20,64,0.001,0.8179591836734694
236,16,30,64,0.001,0.7309183673469388
237,16,10,64,0.0001,0.6711224489795918
238,16,20,64,0.0001,0.6718367346938775
239,16,30,64,0.0001,0.6735714285714286
240,16,10,64,1e-05,0.6573469387755102
241,16,20,64,1e-05,0.6628571428571428
242,16,30,64,1e-05,0.6679591836734694
243,16,10,128,0.001,0.6701020408163265
244,16,20,128,0.001,0.6729591836734694
245,16,30,128,0.001,0.671530612244898
246,16,10,128,0.0001,0.671530612244898
247,16,20,128,0.0001,0.6733673469387755
248,16,30,128,0.0001,0.6738775510204081
249,16,10,128,1e-05,0.654795918367347
250,16,20,128,1e-05,0.6561224489795918
251,16,30,128,1e-05,0.6590816326530612
252,17,10,16,0.001,0.6725510204081633
253,17,20,16,0.001,0.6688775510204081
254,17,30,16,0.001,0.6745918367346939
255,17,10,16,0.0001,0.673265306122449
256,17,20,16,0.0001,0.6741836734693878
257,17,30,16,0.0001,0.6801020408163265
258,17,10,16,1e-05,0.6712244897959184
259,17,20,16,1e-05,0.6720408163265306
260,17,30,16,1e-05,0.6713265306122449
261,17,10,32,0.001,0.6809183673469388
262,17,20,32,0.001,0.6860204081632653
263,17,30,32,0.001,0.7080612244897959
264,17,10,32,0.0001,0.6703061224489796
265,17,20,32,0.0001,0.6708163265306123
266,17,30,32,0.0001,0.671530612244898
267,17,10,32,1e-05,0.6631632653061225
268,17,20,32,1e-05,0.6703061224489796
269,17,30,32,1e-05,0.6708163265306123
270,17,10,64,0.001,0.6688775510204081
271,17,20,64,0.001,0.6680612244897959
272,17,30,64,0.001,0.6661224489795918
273,17,10,64,0.0001,0.6712244897959184
274,17,20,64,0.0001,0.671734693877551
275,17,30,64,0.0001,0.6716326530612244
276,17,10,64,1e-05,0.643061224489796
277,17,20,64,1e-05,0.6518877551020408
278,17,30,64,1e-05,0.6601020408163265
279,17,10,128,0.001,0.6696938775510204
280,17,20,128,0.001,0.6708163265306123
281,17,30,128,0.001,0.6736734693877551
282,17,10,128,0.0001,0.6710204081632654
283,17,20,128,0.0001,0.6711224489795918
284,17,30,128,0.0001,0.6708163265306123
285,17,10,128,1e-05,0.6548979591836734
286,17,20,128,1e-05,0.6518367346938776
287,17,30,128,1e-05,0.6574489795918367
288,18,10,16,0.001,0.6774489795918367
289,18,20,16,0.001,0.7481632653061224
290,18,30,16,0.001,0.7726530612244898
291,18,10,16,0.0001,0.6724489795918367
292,18,20,16,0.0001,0.671530612244898
293,18,30,16,0.0001,0.6783673469387755
294,18,10,16,1e-05,0.6705102040816326
295,18,20,16,1e-05,0.6703061224489796
296,18,30,16,1e-05,0.6707142857142857
297,18,10,32,0.001,0.6769387755102041
298,18,20,32,0.001,0.6721428571428572
299,18,30,32,0.001,0.6743877551020409
300,18,10,32,0.0001,0.6710204081632654
301,18,20,32,0.0001,0.6731632653061225
302,18,30,32,0.0001,0.6748979591836735
303,18,10,32,1e-05,0.6703061224489796
304,18,20,32,1e-05,0.6710204081632654
305,18,30,32,1e-05,0.6714285714285714
306,18,10,64,0.001,0.6711224489795918
307,18,20,64,0.001,0.6972448979591837
308,18,30,64,0.001,0.6796938775510204
309,18,10,64,0.0001,0.6726530612244898
310,18,20,64,0.0001,0.6723469387755102
311,18,30,64,0.0001,0.673469387755102
312,18,10,64,1e-05,0.6561224489795918
313,18,20,64,1e-05,0.6694897959183673
314,18,30,64,1e-05,0.6721428571428572
315,18,10,128,0.001,0.6702040816326531
316,18,20,128,0.001,0.6690816326530612
317,18,30,128,0.001,0.6709183673469388
318,18,10,128,0.0001,0.6722448979591836
319,18,20,128,0.0001,0.6730612244897959
320,18,30,128,0.0001,0.6722448979591836
321,18,10,128,1e-05,0.6559183673469388
322,18,20,128,1e-05,0.6595918367346939
323,18,30,128,1e-05,0.6646938775510204
324,19,10,16,0.001,0.6754081632653062
325,19,20,16,0.001,0.691530612244898
326,19,30,16,0.001,0.6862244897959183
327,19,10,16,0.0001,0.671734693877551
328,19,20,16,0.0001,0.6723469387755102
329,19,30,16,0.0001,0.6716326530612244
330,19,10,16,1e-05,0.6722448979591836
331,19,20,16,1e-05,0.6737755102040817
332,19,30,16,1e-05,0.6737755102040817
333,19,10,32,0.001,0.671530612244898
334,19,20,32,0.001,0.7056122448979592
335,19,30,32,0.001,0.6788775510204081
336,19,10,32,0.0001,0.6712244897959184
337,19,20,32,0.0001,0.6719387755102041
338,19,30,32,0.0001,0.6714285714285714
339,19,10,32,1e-05,0.6593877551020408
340,19,20,32,1e-05,0.6708163265306123
341,19,30,32,1e-05,0.6725510204081633
342,19,10,64,0.001,0.6709183673469388
343,19,20,64,0.001,0.6896938775510204
344,19,30,64,0.001,0.8137755102040817
345,19,10,64,0.0001,0.6726530612244898
346,19,20,64,0.0001,0.6730612244897959
347,19,30,64,0.0001,0.6741836734693878
348,19,10,64,1e-05,0.6521428571428571
349,19,20,64,1e-05,0.6664285714285715
350,19,30,64,1e-05,0.6693877551020408
351,19,10,128,0.001,0.6695918367346939
352,19,20,128,0.001,0.6689795918367347
353,19,30,128,0.001,0.6687755102040817
354,19,10,128,0.0001,0.6709183673469388
355,19,20,128,0.0001,0.6718367346938775
356,19,30,128,0.0001,0.6727551020408163
357,19,10,128,1e-05,0.6542857142857142
358,19,20,128,1e-05,0.651734693877551
359,19,30,128,1e-05,0.6542857142857142
360,20,10,16,0.001,0.6693877551020408
361,20,20,16,0.001,0.6721428571428572
362,20,30,16,0.001,0.7938775510204081
363,20,10,16,0.0001,0.6740816326530612
364,20,20,16,0.0001,0.6731632653061225
365,20,30,16,0.0001,0.6722448979591836
366,20,10,16,1e-05,0.6722448979591836
367,20,20,16,1e-05,0.6720408163265306
368,20,30,16,1e-05,0.6718367346938775
369,20,10,32,0.001,0.6718367346938775
370,20,20,32,0.001,0.6891836734693878
371,20,30,32,0.001,0.6819387755102041
372,20,10,32,0.0001,0.6733673469387755
373,20,20,32,0.0001,0.6766326530612244
374,20,30,32,0.0001,0.6759183673469388
375,20,10,32,1e-05,0.6510204081632653
376,20,20,32,1e-05,0.6691836734693878
377,20,30,32,1e-05,0.671530612244898
378,20,10,64,0.001,0.6713265306122449
379,20,20,64,0.001,0.6696938775510204
380,20,30,64,0.001,0.6726530612244898
381,20,10,64,0.0001,0.6740816326530612
382,20,20,64,0.0001,0.6725510204081633
383,20,30,64,0.0001,0.6724489795918367
384,20,10,64,1e-05,0.6636734693877551
385,20,20,64,1e-05,0.6695918367346939
386,20,30,64,1e-05,0.6702040816326531
387,20,10,128,0.001,0.6672448979591836
388,20,20,128,0.001,0.6746938775510204
389,20,30,128,0.001,0.6856122448979591
390,20,10,128,0.0001,0.6689795918367347
391,20,20,128,0.0001,0.6692857142857143
392,20,30,128,0.0001,0.6691836734693878
393,20,10,128,1e-05,0.649795918367347
394,20,20,128,1e-05,0.6543877551020408
395,20,30,128,1e-05,0.6594897959183673
396,21,10,16,0.001,0.6690816326530612
397,21,20,16,0.001,0.6831632653061225
398,21,30,16,0.001,0.8393877551020408
399,21,10,16,0.0001,0.6704081632653062
400,21,20,16,0.0001,0.6709183673469388
401,21,30,16,0.0001,0.6788775510204081
402,21,10,16,1e-05,0.6714285714285714
403,21,20,16,1e-05,0.6716326530612244
404,21,30,16,1e-05,0.6713265306122449
405,21,10,32,0.001,0.7578571428571429
406,21,20,32,0.001,0.7036734693877551
407,21,30,32,0.001,0.6887755102040817
408,21,10,32,0.0001,0.6723469387755102
409,21,20,32,0.0001,0.6740816326530612
410,21,30,32,0.0001,0.6961224489795919
411,21,10,32,1e-05,0.6722448979591836
412,21,20,32,1e-05,0.6731632653061225
413,21,30,32,1e-05,0.6741836734693878
414,21,10,64,0.001,0.6693877551020408
415,21,20,64,0.001,0.6752040816326531
416,21,30,64,0.001,0.6881632653061225
417,21,10,64,0.0001,0.6742857142857143
418,21,20,64,0.0001,0.6829591836734694
419,21,30,64,0.0001,0.6760204081632653
420,21,10,64,1e-05,0.6620408163265306
421,21,20,64,1e-05,0.6680612244897959
422,21,30,64,1e-05,0.6710204081632654
423,21,10,128,0.001,0.669795918367347
424,21,20,128,0.001,0.669795918367347
425,21,30,128,0.001,0.6691836734693878
426,21,10,128,0.0001,0.6707142857142857
427,21,20,128,0.0001,0.6709183673469388
428,21,30,128,0.0001,0.6705102040816326
429,21,10,128,1e-05,0.6686734693877551
430,21,20,128,1e-05,0.6673469387755102
431,21,30,128,1e-05,0.6687755102040817
432,22,10,16,0.001,0.6853061224489796
433,22,20,16,0.001,0.8281632653061225
434,22,30,16,0.001,0.7363265306122448
435,22,10,16,0.0001,0.6754081632653062
436,22,20,16,0.0001,0.7266326530612245
437,22,30,16,0.0001,0.7191836734693877
438,22,10,16,1e-05,0.6705102040816326
439,22,20,16,1e-05,0.6707142857142857
440,22,30,16,1e-05,0.6709183673469388
441,22,10,32,0.001,0.8025510204081633
442,22,20,32,0.001,0.7493877551020408
443,22,30,32,0.001,0.7290816326530613
444,22,10,32,0.0001,0.6748979591836735
445,22,20,32,0.0001,0.6868367346938775
446,22,30,32,0.0001,0.6910204081632653
447,22,10,32,1e-05,0.6714285714285714
448,22,20,32,1e-05,0.6726530612244898
449,22,30,32,1e-05,0.6730612244897959
450,22,10,64,0.001,0.6698979591836735
451,22,20,64,0.001,0.7489795918367347
452,22,30,64,0.001,0.7276530612244898
453,22,10,64,0.0001,0.673265306122449
454,22,20,64,0.0001,0.6726530612244898
455,22,30,64,0.0001,0.673469387755102
456,22,10,64,1e-05,0.6611224489795918
457,22,20,64,1e-05,0.6703061224489796
458,22,30,64,1e-05,0.6716326530612244
459,22,10,128,0.001,0.669795918367347
460,22,20,128,0.001,0.6711224489795918
461,22,30,128,0.001,0.6714285714285714
462,22,10,128,0.0001,0.6736734693877551
463,22,20,128,0.0001,0.674795918367347
464,22,30,128,0.0001,0.6751020408163265
465,22,10,128,1e-05,0.6578571428571428
466,22,20,128,1e-05,0.6626530612244897
467,22,30,128,1e-05,0.6671428571428571
468,23,10,16,0.001,0.7387755102040816
469,23,20,16,0.001,0.7124489795918367
470,23,30,16,0.001,0.7194897959183674
471,23,10,16,0.0001,0.673469387755102
472,23,20,16,0.0001,0.6768367346938775
473,23,30,16,0.0001,0.6996938775510204
474,23,10,16,1e-05,0.6726530612244898
475,23,20,16,1e-05,0.6735714285714286
476,23,30,16,1e-05,0.675
477,23,10,32,0.001,0.6862244897959183
478,23,20,32,0.001,0.8484693877551021
479,23,30,32,0.001,0.8288775510204082
480,23,10,32,0.0001,0.6709183673469388
481,23,20,32,0.0001,0.671530612244898
482,23,30,32,0.0001,0.676530612244898
483,23,10,32,1e-05,0.6679591836734694
484,23,20,32,1e-05,0.6707142857142857
485,23,30,32,1e-05,0.6708163265306123
486,23,10,64,0.001,0.6690816326530612
487,23,20,64,0.001,0.6971428571428572
488,23,30,64,0.001,0.67
489,23,10,64,0.0001,0.6726530612244898
490,23,20,64,0.0001,0.6730612244897959
491,23,30,64,0.0001,0.6872448979591836
492,23,10,64,1e-05,0.6541836734693878
493,23,20,64,1e-05,0.6685714285714286
494,23,30,64,1e-05,0.6708163265306123
495,23,10,128,0.001,0.6689795918367347
496,23,20,128,0.001,0.6710204081632654
497,23,30,128,0.001,0.6689795918367347
498,23,10,128,0.0001,0.6710204081632654
499,23,20,128,0.0001,0.6711224489795918
500,23,30,128,0.0001,0.6710204081632654
501,23,10,128,1e-05,0.6595918367346939
502,23,20,128,1e-05,0.6662244897959184
503,23,30,128,1e-05,0.6698979591836735
504,24,10,16,0.001,0.7395918367346939
505,24,20,16,0.001,0.8363265306122449
506,24,30,16,0.001,0.8487755102040816
507,24,10,16,0.0001,0.6721428571428572
508,24,20,16,0.0001,0.6768367346938775
509,24,30,16,0.0001,0.7228571428571429
510,24,10,16,1e-05,0.6709183673469388
511,24,20,16,1e-05,0.6709183673469388
512,24,30,16,1e-05,0.6709183673469388
513,24,10,32,0.001,0.8453061224489796
514,24,20,32,0.001,0.7906122448979592
515,24,30,32,0.001,0.8620408163265306
516,24,10,32,0.0001,0.6731632653061225
517,24,20,32,0.0001,0.673469387755102
518,24,30,32,0.0001,0.6854081632653061
519,24,10,32,1e-05,0.6716326530612244
520,24,20,32,1e-05,0.6728571428571428
521,24,30,32,1e-05,0.6727551020408163
522,24,10,64,0.001,0.6701020408163265
523,24,20,64,0.001,0.7066326530612245
524,24,30,64,0.001,0.7138775510204082
525,24,10,64,0.0001,0.6725510204081633
526,24,20,64,0.0001,0.671530612244898
527,24,30,64,0.0001,0.6723469387755102
528,24,10,64,1e-05,0.6575510204081633
529,24,20,64,1e-05,0.6692857142857143
530,24,30,64,1e-05,0.6707142857142857
531,24,10,128,0.001,0.6679591836734694
532,24,20,128,0.001,0.6693877551020408
533,24,30,128,0.001,0.6718367346938775
534,24,10,128,0.0001,0.6709183673469388
535,24,20,128,0.0001,0.6718367346938775
536,24,30,128,0.0001,0.6718367346938775
537,24,10,128,1e-05,0.6515306122448979
538,24,20,128,1e-05,0.6588775510204081
539,24,30,128,1e-05,0.6677551020408163
540,25,10,16,0.001,0.7604081632653061
541,25,20,16,0.001,0.8468367346938775
542,25,30,16,0.001,0.8918367346938776
543,25,10,16,0.0001,0.6728571428571428
544,25,20,16,0.0001,0.6808163265306122
545,25,30,16,0.0001,0.6813265306122449
546,25,10,16,1e-05,0.6725510204081633
547,25,20,16,1e-05,0.6731632653061225
548,25,30,16,1e-05,0.6739795918367347
549,25,10,32,0.001,0.7121428571428572
550,25,20,32,0.001,0.7634693877551021
551,25,30,32,0.001,0.8965306122448979
552,25,10,32,0.0001,0.7395918367346939
553,25,20,32,0.0001,0.7234693877551021
554,25,30,32,0.0001,0.7756122448979592
555,25,10,32,1e-05,0.6672448979591836
556,25,20,32,1e-05,0.6702040816326531
557,25,30,32,1e-05,0.6706122448979592
558,25,10,64,0.001,0.6698979591836735
559,25,20,64,0.001,0.7885714285714286
560,25,30,64,0.001,0.7219387755102041
561,25,10,64,0.0001,0.6752040816326531
562,25,20,64,0.0001,0.6736734693877551
563,25,30,64,0.0001,0.6739795918367347
564,25,10,64,1e-05,0.6693877551020408
565,25,20,64,1e-05,0.671734693877551
566,25,30,64,1e-05,0.6724489795918367
567,25,10,128,0.001,0.6695918367346939
568,25,20,128,0.001,0.669795918367347
569,25,30,128,0.001,0.6738775510204081
570,25,10,128,0.0001,0.6703061224489796
571,25,20,128,0.0001,0.6713265306122449
572,25,30,128,0.0001,0.6723469387755102
573,25,10,128,1e-05,0.661530612244898
574,25,20,128,1e-05,0.6674489795918367
575,25,30,128,1e-05,0.6693877551020408
576,26,10,16,0.001,0.7007142857142857
577,26,20,16,0.001,0.7491836734693877
578,26,30,16,0.001,0.7106122448979592
579,26,10,16,0.0001,0.6712244897959184
580,26,20,16,0.0001,0.6996938775510204
581,26,30,16,0.0001,0.6862244897959183
582,26,10,16,1e-05,0.6716326530612244
583,26,20,16,1e-05,0.6714285714285714
584,26,30,16,1e-05,0.6719387755102041
585,26,10,32,0.001,0.7707142857142857
586,26,20,32,0.001,0.7139795918367347
587,26,30,32,0.001,0.6958163265306122
588,26,10,32,0.0001,0.6761224489795918
589,26,20,32,0.0001,0.7990816326530612
590,26,30,32,0.0001,0.7864285714285715
591,26,10,32,1e-05,0.6705102040816326
592,26,20,32,1e-05,0.671734693877551
593,26,30,32,1e-05,0.6716326530612244
594,26,10,64,0.001,0.6722448979591836
595,26,20,64,0.001,0.846530612244898
596,26,30,64,0.001,0.816530612244898
597,26,10,64,0.0001,0.6727551020408163
598,26,20,64,0.0001,0.6786734693877551
599,26,30,64,0.0001,0.7033673469387756
600,26,10,64,1e-05,0.6458163265306123
601,26,20,64,1e-05,0.6687755102040817
602,26,30,64,1e-05,0.6712244897959184
603,26,10,128,0.001,0.6688775510204081
604,26,20,128,0.001,0.6970408163265306
605,26,30,128,0.001,0.7157142857142857
606,26,10,128,0.0001,0.6701020408163265
607,26,20,128,0.0001,0.6704081632653062
608,26,30,128,0.0001,0.671530612244898
609,26,10,128,1e-05,0.6520408163265307
610,26,20,128,1e-05,0.6645918367346939
611,26,30,128,1e-05,0.6690816326530612
612,27,10,16,0.001,0.6738775510204081
613,27,20,16,0.001,0.8089795918367347
614,27,30,16,0.001,0.7940816326530612
615,27,10,16,0.0001,0.6725510204081633
616,27,20,16,0.0001,0.6733673469387755
617,27,30,16,0.0001,0.6828571428571428
618,27,10,16,1e-05,0.671734693877551
619,27,20,16,1e-05,0.6714285714285714
620,27,30,16,1e-05,0.671530612244898
621,27,10,32,0.001,0.6718367346938775
622,27,20,32,0.001,0.6714285714285714
623,27,30,32,0.001,0.688265306122449
624,27,10,32,0.0001,0.6764285714285714
625,27,20,32,0.0001,0.6735714285714286
626,27,30,32,0.0001,0.6729591836734694
627,27,10,32,1e-05,0.671734693877551
628,27,20,32,1e-05,0.6713265306122449
629,27,30,32,1e-05,0.6714285714285714
630,27,10,64,0.001,0.6713265306122449
631,27,20,64,0.001,0.7153061224489796
632,27,30,64,0.001,0.7709183673469387
633,27,10,64,0.0001,0.6739795918367347
634,27,20,64,0.0001,0.6742857142857143
635,27,30,64,0.0001,0.6743877551020409
636,27,10,64,1e-05,0.6637755102040817
637,27,20,64,1e-05,0.6682653061224489
638,27,30,64,1e-05,0.6694897959183673
639,27,10,128,0.001,0.6705102040816326
640,27,20,128,0.001,0.6729591836734694
641,27,30,128,0.001,0.6721428571428572
642,27,10,128,0.0001,0.6720408163265306
643,27,20,128,0.0001,0.6730612244897959
644,27,30,128,0.0001,0.6759183673469388
